WD13CD;WD13CDO;WD13NM
E05000144;00AGGW;Swiss Cottage
E05000145;00AGGX;West Hampstead
E05000146;00AHGE;Addiscombe
E05000147;00AHGF;Ashburton
E05000148;00AHGG;Bensham Manor
E05000149;00AHGH;Broad Green
E05000150;00AHGJ;Coulsdon East
E05000151;00AHGK;Coulsdon West
E05000152;00AHGL;Croham
E05000153;00AHGM;Fairfield
E05000154;00AHGN;Fieldway
E05000155;00AHGP;Heathfield
E05000156;00AHGQ;Kenley
E05000157;00AHGR;New Addington
E05000158;00AHGS;Norbury
E05000159;00AHGT;Purley
E05000160;00AHGU;Sanderstead
E05000161;00AHGW;Selhurst
E05000162;00AHGX;Selsdon and Ballards
E05000163;00AHGY;Shirley
E05000164;00AHGZ;South Norwood
E05000165;00AHHA;Thornton Heath
E05000166;00AHHB;Upper Norwood
E05000167;00AHHC;Waddon
E05000168;00AHHD;West Thornton
E05000169;00AHHE;Woodside
E05000170;00AJGC;Acton Central
E05000171;00AJGD;Cleveland
E05000172;00AJGE;Dormers Wells
E05000173;00AJGF;Ealing Broadway
E05000174;00AJGG;Ealing Common
E05000175;00AJGH;East Acton
E05000176;00AJGJ;Elthorne
E05000177;00AJGK;Greenford Broadway
E05000178;00AJGL;Greenford Green
E05000179;00AJGM;Hanger Hill
E05000180;00AJGN;Hobbayne
E05000181;00AJGP;Lady Margaret
E05000182;00AJGQ;Northfield
E05000183;00AJGR;North Greenford
E05000184;00AJGS;Northolt Mandeville
E05000185;00AJGT;Northolt West End
E05000186;00AJGU;Norwood Green
E05000187;00AJGW;Perivale
E05000188;00AJGX;South Acton
E05000189;00AJGY;Southall Broadway
E05000190;00AJGZ;Southall Green
E05000191;00AJHA;Southfield
E05000192;00AJHB;Walpole
E05000193;00AKGL;Bowes
E05000194;00AKGM;Bush Hill Park
E05000195;00AKGN;Chase
E05000196;00AKGP;Cockfosters
E05000197;00AKGQ;Edmonton Green
E05000198;00AKGR;Enfield Highway
E05000199;00AKGS;Enfield Lock
E05000200;00AKGT;Grange
E05000201;00AKGU;Haselbury
E05000202;00AKGW;Highlands
E05000203;00AKGX;Jubilee
E05000204;00AKGY;Lower Edmonton
E05000205;00AKGZ;Palmers Green
E05000206;00AKHA;Ponders End
E05000207;00AKHB;Southbury
E05000208;00AKHC;Southgate
E05000209;00AKHD;Southgate Green
E05000210;00AKHE;Town
E05000211;00AKHF;Turkey Street
E05000212;00AKHG;Upper Edmonton
E05000213;00AKHH;Winchmore Hill
E05000214;00ALGP;Abbey Wood
E05000215;00ALGQ;Blackheath Westcombe
E05000216;00ALGR;Charlton
E05000217;00ALGS;Coldharbour and New Eltham
E05000218;00ALGT;Eltham North
E05000219;00ALGU;Eltham South
E05000220;00ALGW;Eltham West
E05000221;00ALGX;Glyndon
E05000222;00ALGY;Greenwich West
E05000223;00ALGZ;Kidbrooke with Hornfair
E05000224;00ALHA;Middle Park and Sutcliffe
E05000225;00ALHB;Peninsula
E05000226;00ALHC;Plumstead
E05000227;00ALHD;Shooters Hill
E05000228;00ALHE;Thamesmead Moorings
E05000229;00ALHF;Woolwich Common
E05000230;00ALHG;Woolwich Riverside
E05000231;00AMGA;Brownswood
E05000232;00AMGB;Cazenove
E05000233;00AMGC;Chatham
E05000234;00AMGD;Clissold
E05000235;00AMGE;Dalston
E05000236;00AMGF;De Beauvoir
E05000237;00AMGG;Hackney Central
E05000238;00AMGH;Hackney Downs
E05000239;00AMGJ;Haggerston
E05000240;00AMGK;Hoxton
E05000241;00AMGL;King's Park
E05000242;00AMGM;Leabridge
E05000243;00AMGN;Lordship
E05000244;00AMGP;New River
E05000245;00AMGQ;Queensbridge
E05000246;00AMGR;Springfield
E05000247;00AMGS;Stoke Newington Central
E05000248;00AMGT;Victoria
E05000249;00AMGU;Wick
E05000250;00ANGA;Addison
E05000251;00ANGB;Askew
E05000252;00ANGC;Avonmore and Brook Green
E05000253;00ANGD;College Park and Old Oak
E05000254;00ANGE;Fulham Broadway
E05000255;00ANGF;Fulham Reach
E05000256;00ANGG;Hammersmith Broadway
E05000257;00ANGH;Munster
E05000258;00ANGJ;North End
E05000259;00ANGK;Palace Riverside
E05000260;00ANGL;Parsons Green and Walham
E05000261;00ANGM;Ravenscourt Park
E05000262;00ANGN;Sands End
E05000263;00ANGP;Shepherd's Bush Green
E05000264;00ANGQ;Town
E05000265;00ANGR;Wormholt and White City
E05000266;00APGA;Alexandra
E05000267;00APGB;Bounds Green
E05000268;00APGC;Bruce Grove
E05000269;00APGD;Crouch End
E05000270;00APGE;Fortis Green
E05000271;00APGF;Harringay
E05000272;00APGG;Highgate
E05000273;00APGH;Hornsey
E05000274;00APGJ;Muswell Hill
E05000275;00APGK;Noel Park
E05000276;00APGL;Northumberland Park
E05000277;00APGM;St Ann's
E05000278;00APGN;Seven Sisters
E05000279;00APGP;Stroud Green
E05000280;00APGQ;Tottenham Green
E05000281;00APGR;Tottenham Hale
E05000282;00APGS;West Green
E05000283;00APGT;White Hart Lane
E05000284;00APGU;Woodside
E05000285;00AQFY;Belmont
E05000286;00AQFZ;Canons
E05000287;00AQGA;Edgware
E05000288;00AQGB;Greenhill
E05000289;00AQGC;Harrow on the Hill
E05000290;00AQGD;Harrow Weald
E05000291;00AQGE;Hatch End
E05000292;00AQGF;Headstone North
E05000293;00AQGG;Headstone South
E05000294;00AQGH;Kenton East
E05000295;00AQGJ;Kenton West
E05000296;00AQGK;Marlborough
E05000297;00AQGL;Pinner
E05000298;00AQGM;Pinner South
E05000299;00AQGN;Queensbury
E05000300;00AQGP;Rayners Lane
E05000301;00AQGQ;Roxbourne
E05000302;00AQGR;Roxeth
E05000303;00AQGS;Stanmore Park
E05000304;00AQGT;Wealdstone
E05000305;00AQGU;West Harrow
E05000306;00ARGC;Brooklands
E05000307;00ARGD;Cranham
E05000308;00ARGE;Elm Park
E05000309;00ARGF;Emerson Park
E05000310;00ARGG;Gooshays
E05000311;00ARGH;Hacton
E05000312;00ARGJ;Harold Wood
E05000313;00ARGK;Havering Park
E05000314;00ARGL;Heaton
E05000315;00ARGM;Hylands
E05000316;00ARGN;Mawneys
E05000317;00ARGP;Pettits
E05000318;00ARGQ;Rainham and Wennington
E05000319;00ARGR;Romford Town
E05000320;00ARGS;St Andrew's
E05000321;00ARGT;South Hornchurch
E05000322;00ARGU;Squirrel's Heath
E05000323;00ARGW;Upminster
E05000324;00ASGG;Barnhill
E05000325;00ASGH;Botwell
E05000326;00ASGJ;Brunel
E05000327;00ASGK;Cavendish
E05000328;00ASGL;Charville
E05000329;00ASGM;Eastcote and East Ruislip
E05000330;00ASGN;Harefield
E05000331;00ASGP;Heathrow Villages
E05000332;00ASGQ;Hillingdon East
E05000333;00ASGR;Ickenham
E05000334;00ASGS;Manor
E05000335;00ASGT;Northwood
E05000336;00ASGU;Northwood Hills
E05000337;00ASGW;Pinkwell
E05000338;00ASGX;South Ruislip
E05000339;00ASGY;Townfield
E05000340;00ASGZ;Uxbridge North
E05000341;00ASHA;Uxbridge South
E05000342;00ASHB;West Drayton
E05000343;00ASHC;West Ruislip
E05000344;00ASHD;Yeading
E05000345;00ASHE;Yiewsley
E05000346;00ATFY;Bedfont
E05000347;00ATFZ;Brentford
E05000348;00ATGA;Chiswick Homefields
E05000349;00ATGB;Chiswick Riverside
E05000350;00ATGC;Cranford
E05000351;00ATGD;Feltham North
E05000352;00ATGE;Feltham West
E05000353;00ATGF;Hanworth
E05000354;00ATGG;Hanworth Park
E05000355;00ATGH;Heston Central
E05000356;00ATGJ;Heston East
E05000357;00ATGK;Heston West
E05000358;00ATGL;Hounslow Central
E05000359;00ATGM;Hounslow Heath
E05000360;00ATGN;Hounslow South
E05000361;00ATGP;Hounslow West
E05000362;00ATGQ;Isleworth
E05000363;00ATGR;Osterley and Spring Grove
E05000364;00ATGS;Syon
E05000365;00ATGT;Turnham Green
E05000366;00AUFX;Barnsbury
E05000367;00AUFY;Bunhill
E05000368;00AUFZ;Caledonian
E05000369;00AUGA;Canonbury
E05000370;00AUGB;Clerkenwell
E05000371;00AUGC;Finsbury Park
E05000372;00AUGD;Highbury East
E05000373;00AUGE;Highbury West
E05000374;00AUGF;Hillrise
E05000375;00AUGG;Holloway
E05000376;00AUGH;Junction
E05000377;00AUGJ;Mildmay
E05000378;00AUGK;St George's
E05000379;00AUGL;St Mary's
E05000380;00AUGM;St Peter's
E05000381;00AUGN;Tollington
E05000382;00AWFY;Abingdon
E05000383;00AWFZ;Brompton
E05000384;00AWGA;Campden
E05000385;00AWGB;Colville
E05000386;00AWGC;Courtfield
E05000387;00AWGD;Cremorne
E05000388;00AWGE;Earl's Court
E05000389;00AWGF;Golborne
E05000390;00AWGG;Hans Town
E05000391;00AWGH;Holland
E05000392;00AWGJ;Norland
E05000393;00AWGK;Notting Barns
E05000394;00AWGL;Pembridge
E05000395;00AWGM;Queen's Gate
E05000396;00AWGN;Redcliffe
E05000397;00AWGP;Royal Hospital
E05000398;00AWGQ;St Charles
E05000399;00AWGR;Stanley
E05000400;00AXFX;Alexandra
E05000401;00AXFY;Berrylands
E05000402;00AXFZ;Beverley
E05000403;00AXGA;Canbury
E05000404;00AXGB;Chessington North and Hook
E05000405;00AXGC;Chessington South
E05000406;00AXGD;Coombe Hill
E05000407;00AXGE;Coombe Vale
E05000408;00AXGF;Grove
E05000409;00AXGG;Norbiton
E05000410;00AXGH;Old Malden
E05000411;00AXGJ;St James
E05000412;00AXGK;St Mark's
E05000413;00AXGL;Surbiton Hill
E05000414;00AXGM;Tolworth and Hook Rise
E05000415;00AXGN;Tudor
E05000416;00AYFZ;Bishop's
E05000417;00AYGA;Brixton Hill
E05000418;00AYGB;Clapham Common
E05000419;00AYGC;Clapham Town
E05000420;00AYGD;Coldharbour
E05000421;00AYGE;Ferndale
E05000422;00AYGF;Gipsy Hill
E05000423;00AYGG;Herne Hill
E05000424;00AYGH;Knight's Hill
E05000425;00AYGJ;Larkhall
E05000426;00AYGK;Oval
E05000427;00AYGL;Prince's
E05000428;00AYGM;St Leonard's
E05000429;00AYGN;Stockwell
E05000430;00AYGP;Streatham Hill
E05000431;00AYGQ;Streatham South
E05000432;00AYGR;Streatham Wells
E05000433;00AYGS;Thornton
E05000434;00AYGT;Thurlow Park
E05000435;00AYGU;Tulse Hill
E05000436;00AYGW;Vassall
E05000437;00AZGD;Bellingham
E05000438;00AZGE;Blackheath
E05000439;00AZGF;Brockley
E05000440;00AZGG;Catford South
E05000441;00AZGH;Crofton Park
E05000442;00AZGJ;Downham
E05000443;00AZGK;Evelyn
E05000444;00AZGL;Forest Hill
E05000445;00AZGM;Grove Park
E05000446;00AZGN;Ladywell
E05000447;00AZGP;Lee Green
E05000448;00AZGQ;Lewisham Central
E05000449;00AZGR;New Cross
E05000450;00AZGS;Perry Vale
E05000451;00AZGT;Rushey Green
E05000452;00AZGU;Sydenham
E05000453;00AZGW;Telegraph Hill
E05000454;00AZGX;Whitefoot
E05000455;00BAFX;Abbey
E05000456;00BAFY;Cannon Hill
E05000457;00BAFZ;Colliers Wood
E05000458;00BAGA;Cricket Green
E05000459;00BAGB;Dundonald
E05000460;00BAGC;Figge's Marsh
E05000461;00BAGD;Graveney
E05000462;00BAGE;Hillside
E05000463;00BAGF;Lavender Fields
E05000464;00BAGG;Longthornton
E05000465;00BAGH;Lower Morden
E05000466;00BAGJ;Merton Park
E05000467;00BAGK;Pollards Hill
E05000468;00BAGL;Ravensbury
E05000469;00BAGM;Raynes Park
E05000470;00BAGN;St Helier
E05000471;00BAGP;Trinity
E05000472;00BAGQ;Village
E05000473;00BAGR;West Barnes
E05000474;00BAGS;Wimbledon Park
E05000475;00BBGB;Beckton
E05000476;00BBGC;Boleyn
E05000477;00BBGD;Canning Town North
E05000478;00BBGE;Canning Town South
E05000479;00BBGF;Custom House
E05000480;00BBGG;East Ham Central
E05000481;00BBGH;East Ham North
E05000482;00BBGJ;East Ham South
E05000483;00BBGK;Forest Gate North
E05000484;00BBGL;Forest Gate South
E05000485;00BBGM;Green Street East
E05000486;00BBGN;Green Street West
E05000487;00BBGP;Little Ilford
E05000488;00BBGQ;Manor Park
E05000489;00BBGR;Plaistow North
E05000490;00BBGS;Plaistow South
E05000491;00BBGT;Royal Docks
E05000492;00BBGU;Stratford and New Town
E05000493;00BBGW;Wall End
E05000494;00BBGX;West Ham
E05000495;00BCFY;Aldborough
E05000496;00BCFZ;Barkingside
E05000497;00BCGA;Bridge
E05000498;00BCGB;Chadwell
E05000499;00BCGC;Church End
E05000500;00BCGD;Clayhall
E05000501;00BCGE;Clementswood
E05000502;00BCGF;Cranbrook
E05000503;00BCGG;Fairlop
E05000504;00BCGH;Fullwell
E05000505;00BCGJ;Goodmayes
E05000506;00BCGK;Hainault
E05000507;00BCGL;Loxford
E05000508;00BCGM;Mayfield
E05000509;00BCGN;Monkhams
E05000510;00BCGP;Newbury
E05000511;00BCGQ;Roding
E05000512;00BCGR;Seven Kings
E05000513;00BCGS;Snaresbrook
E05000514;00BCGT;Valentines
E05000515;00BCGU;Wanstead
E05000516;00BDFW;Barnes
E05000517;00BDFX;East Sheen
E05000518;00BDFY;Fulwell and Hampton Hill
E05000519;00BDFZ;Ham, Petersham and Richmond Riverside
E05000520;00BDGA;Hampton
E05000521;00BDGB;Hampton North
E05000522;00BDGC;Hampton Wick
E05000523;00BDGD;Heathfield
E05000524;00BDGE;Kew
E05000525;00BDGF;Mortlake and Barnes Common
E05000526;00BDGG;North Richmond
E05000527;00BDGH;St Margarets and North Twickenham
E05000528;00BDGJ;South Richmond
E05000529;00BDGK;South Twickenham
E05000530;00BDGL;Teddington
E05000531;00BDGM;Twickenham Riverside
E05000532;00BDGN;West Twickenham
E05000533;00BDGP;Whitton
E05000534;00BEGC;Brunswick Park
E05000535;00BEGD;Camberwell Green
E05000536;00BEGE;Cathedrals
E05000537;00BEGF;Chaucer
E05000538;00BEGG;College
E05000539;00BEGH;East Dulwich
E05000540;00BEGJ;East Walworth
E05000541;00BEGK;Faraday
E05000542;00BEGL;Grange
E05000543;00BEGM;Livesey
E05000544;00BEGN;Newington
E05000545;00BEGP;Nunhead
E05000546;00BEGQ;Peckham
E05000547;00BEGR;Peckham Rye
E05000548;00BEGS;Riverside
E05000549;00BEGT;Rotherhithe
E05000550;00BEGU;South Bermondsey
E05000551;00BEGW;South Camberwell
E05000552;00BEGX;Surrey Docks
E05000553;00BEGY;The Lane
E05000554;00BEGZ;Village
E05000555;00BFGC;Beddington North
E05000556;00BFGD;Beddington South
E05000557;00BFGE;Belmont
E05000558;00BFGF;Carshalton Central
E05000559;00BFGG;Carshalton South and Clockhouse
E05000560;00BFGH;Cheam
E05000561;00BFGJ;Nonsuch
E05000562;00BFGK;St Helier
E05000563;00BFGL;Stonecot
E05000564;00BFGM;Sutton Central
E05000565;00BFGN;Sutton North
E05000566;00BFGP;Sutton South
E05000567;00BFGQ;Sutton West
E05000568;00BFGR;The Wrythe
E05000569;00BFGS;Wallington North
E05000570;00BFGT;Wallington South
E05000571;00BFGU;Wandle Valley
E05000572;00BFGW;Worcester Park
E05000573;00BGFW;Bethnal Green North
E05000574;00BGFX;Bethnal Green South
E05000575;00BGFY;Blackwall and Cubitt Town
E05000576;00BGFZ;Bow East
E05000577;00BGGA;Bow West
E05000578;00BGGB;Bromley-by-Bow
E05000579;00BGGC;East India and Lansbury
E05000580;00BGGD;Limehouse
E05000581;00BGGE;Mile End and Globe Town
E05000582;00BGGF;Mile End East
E05000583;00BGGG;Millwall
E05000584;00BGGH;St Dunstan's and Stepney Green
E05000585;00BGGJ;St Katharine's and Wapping
E05000586;00BGGK;Shadwell
E05000587;00BGGL;Spitalfields and Banglatown
E05000588;00BGGM;Weavers
E05000589;00BGGN;Whitechapel
E05000590;00BHFX;Cann Hall
E05000591;00BHFY;Cathall
E05000592;00BHFZ;Chapel End
E05000593;00BHGA;Chingford Green
E05000594;00BHGB;Endlebury
E05000595;00BHGC;Forest
E05000596;00BHGD;Grove Green
E05000597;00BHGE;Hale End and Highams Park
E05000598;00BHGF;Hatch Lane
E05000599;00BHGG;High Street
E05000600;00BHGH;Higham Hill
E05000601;00BHGJ;Hoe Street
E05000602;00BHGK;Larkswood
E05000603;00BHGL;Lea Bridge
E05000604;00BHGM;Leyton
E05000605;00BHGN;Leytonstone
E05000606;00BHGP;Markhouse
E05000607;00BHGQ;Valley
E05000608;00BHGR;William Morris
E05000609;00BHGS;Wood Street
E05000610;00BJFZ;Balham
E05000611;00BJGA;Bedford
E05000612;00BJGB;Earlsfield
E05000613;00BJGC;East Putney
E05000614;00BJGD;Fairfield
E05000615;00BJGE;Furzedown
E05000616;00BJGF;Graveney
E05000617;00BJGG;Latchmere
E05000618;00BJGH;Nightingale
E05000619;00BJGJ;Northcote
E05000620;00BJGK;Queenstown
E05000621;00BJGL;Roehampton and Putney Heath
E05000622;00BJGM;St Mary's Park
E05000623;00BJGN;Shaftesbury
E05000624;00BJGP;Southfields
E05000625;00BJGQ;Thamesfield
E05000626;00BJGR;Tooting
E05000627;00BJGS;Wandsworth Common
E05000628;00BJGT;West Hill
E05000629;00BJGU;West Putney
E05000630;00BKGA;Abbey Road
E05000631;00BKGB;Bayswater
E05000632;00BKGC;Bryanston and Dorset Square
E05000633;00BKGD;Churchill
E05000634;00BKGE;Church Street
E05000635;00BKGF;Harrow Road
E05000636;00BKGG;Hyde Park
E05000637;00BKGH;Knightsbridge and Belgravia
E05000638;00BKGJ;Lancaster Gate
E05000639;00BKGK;Little Venice
E05000640;00BKGL;Maida Vale
E05000641;00BKGM;Marylebone High Street
E05000642;00BKGN;Queen's Park
E05000643;00BKGP;Regent's Park
E05000644;00BKGQ;St James's
E05000645;00BKGR;Tachbrook
E05000646;00BKGS;Vincent Square
E05000647;00BKGT;Warwick
E05000648;00BKGU;Westbourne
E05000649;00BKGW;West End
E05000650;00BLFX;Astley Bridge
E05000651;00BLFY;Bradshaw
E05000652;00BLFZ;Breightmet
E05000653;00BLGA;Bromley Cross
E05000654;00BLGB;Crompton
E05000655;00BLGC;Farnworth
E05000656;00BLGD;Great Lever
E05000657;00BLGE;Halliwell
E05000658;00BLGF;Harper Green
E05000659;00BLGG;Heaton and Lostock
E05000660;00BLGH;Horwich and Blackrod
E05000661;00BLGJ;Horwich North East
E05000662;00BLGK;Hulton
E05000663;00BLGL;Kearsley
E05000664;00BLGM;Little Lever and Darcy Lever
E05000665;00BLGN;Rumworth
E05000666;00BLGP;Smithills
E05000667;00BLGQ;Tonge with the Haulgh
E05000668;00BLGR;Westhoughton North and Chew Moor
E05000669;00BLGS;Westhoughton South
E05000670;00BMFS;Besses
E05000671;00BMFT;Church
E05000672;00BMFU;East
E05000673;00BMFW;Elton
E05000674;00BMFX;Holyrood
E05000675;00BMFY;Moorside
E05000676;00BMFZ;North Manor
E05000677;00BMGA;Pilkington Park
E05000678;00BMGB;Radcliffe East
E05000679;00BMGC;Radcliffe North
E05000680;00BMGD;Radcliffe West
E05000681;00BMGE;Ramsbottom
E05000682;00BMGF;Redvales
E05000683;00BMGG;St Mary's
E05000684;00BMGH;Sedgley
E05000685;00BMGJ;Tottington
E05000686;00BMGK;Unsworth
E05000687;00BNGL;Ancoats and Clayton
E05000688;00BNGM;Ardwick
E05000689;00BNGN;Baguley
E05000690;00BNGP;Bradford
E05000691;00BNGQ;Brooklands
E05000692;00BNGR;Burnage
E05000693;00BNGS;Charlestown
E05000694;00BNGT;Cheetham
E05000695;00BNGU;Chorlton
E05000696;00BNGW;Chorlton Park
E05000697;00BNGX;City Centre
E05000698;00BNGY;Crumpsall
E05000699;00BNGZ;Didsbury East
E05000700;00BNHA;Didsbury West
E05000701;00BNHB;Fallowfield
E05000702;00BNHC;Gorton North
E05000703;00BNHD;Gorton South
E05000704;00BNHE;Harpurhey
E05000705;00BNHF;Higher Blackley
E05000706;00BNHG;Hulme
E05000707;00BNHH;Levenshulme
E05000708;00BNHJ;Longsight
E05000709;00BNHK;Miles Platting and Newton Heath
E05000710;00BNHL;Moss Side
E05000711;00BNHM;Moston
E05000712;00BNHN;Northenden
E05000713;00BNHP;Old Moat
E05000714;00BNHQ;Rusholme
E05000715;00BNHR;Sharston
E05000716;00BNHS;Whalley Range
E05000717;00BNHT;Withington
E05000718;00BNHU;Woodhouse Park
E05000719;00BPFX;Alexandra
E05000720;00BPFY;Chadderton Central
E05000721;00BPFZ;Chadderton North
E05000722;00BPGA;Chadderton South
E05000723;00BPGB;Coldhurst
E05000724;00BPGC;Crompton
E05000725;00BPGD;Failsworth East
E05000726;00BPGE;Failsworth West
E05000727;00BPGF;Hollinwood
E05000728;00BPGG;Medlock Vale
E05000729;00BPGH;Royton North
E05000730;00BPGJ;Royton South
E05000731;00BPGK;Saddleworth North
E05000732;00BPGL;Saddleworth South
E05000733;00BPGM;Saddleworth West and Lees
E05000734;00BPGN;St James'
E05000735;00BPGP;St Mary's
E05000736;00BPGQ;Shaw
E05000737;00BPGR;Waterhead
E05000738;00BPGS;Werneth
E05000739;00BQFX;Balderstone and Kirkholt
E05000740;00BQFY;Bamford
E05000741;00BQFZ;Castleton
E05000742;00BQGA;Central Rochdale
E05000743;00BQGB;East Middleton
E05000744;00BQGC;Healey
E05000745;00BQGD;Hopwood Hall
E05000746;00BQGE;Kingsway
E05000747;00BQGF;Littleborough Lakeside
E05000748;00BQGG;Milkstone and Deeplish
E05000749;00BQGH;Milnrow and Newhey
E05000750;00BQGJ;Norden
E05000751;00BQGK;North Heywood
E05000752;00BQGL;North Middleton
E05000753;00BQGM;Smallbridge and Firgrove
E05000754;00BQGN;South Middleton
E05000755;00BQGP;Spotland and Falinge
E05000756;00BQGQ;Wardle and West Littleborough
E05000757;00BQGR;West Heywood
E05000758;00BQGS;West Middleton
E05000759;00BRFX;Barton
E05000760;00BRFY;Boothstown and Ellenbrook
E05000761;00BRFZ;Broughton
E05000762;00BRGA;Cadishead
E05000763;00BRGB;Claremont
E05000764;00BRGC;Eccles
E05000765;00BRGD;Irlam
E05000766;00BRGE;Irwell Riverside
E05000767;00BRGF;Kersal
E05000768;00BRGG;Langworthy
E05000769;00BRGH;Little Hulton
E05000770;00BRGJ;Ordsall
E05000771;00BRGK;Pendlebury
E05000772;00BRGL;Swinton North
E05000773;00BRGM;Swinton South
E05000774;00BRGN;Walkden North
E05000775;00BRGP;Walkden South
E05000776;00BRGQ;Weaste and Seedley
E05000777;00BRGR;Winton
E05000778;00BRGS;Worsley
E05000779;00BSFY;Bramhall North
E05000780;00BSFZ;Bramhall South
E05000781;00BSGA;Bredbury and Woodley
E05000782;00BSGB;Bredbury Green and Romiley
